date,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5-Dec,5.95,3.816666667,3.683333333,4.2,2,4.828571429,5.3,2.814285714,1.671428571,2.45,2.2,3.2,2.1,3.422222222,2.822222222,3.4,2.772727273,1.809090909,2.745454546,1.954545455,4,0.590909091,4.127272727,2.545454546,3.245454546,1.590909091,1.436363636,3.763636364,3.545454546,2.745454546,1.263636364,2.081818182,1.990909091
6-Dec,5.933333333,4.133333333,3.683333333,4.233333333,2.085714286,5.128571429,5.328571429,2.885714286,1.7,2.5,2.2875,3.2,2.15,3.366666667,2.866666667,3.411111111,2.954545455,1.818181818,2.772727273,1.945454546,4.090909091,0.590909091,4.272727273,2.536363636,3.263636364,1.590909091,1.445454546,3.936363636,3.6,2.745454546,1.263636364,2.054545455,1.945454546
7-Dec,5.916666667,4.15,3.766666667,4.5,2.142857143,5.7,5.357142857,2.971428571,1.7,2.5125,2.3,3.2,2.2,3.366666667,3.011111111,3.388888889,3.4,1.818181818,2.818181818,1.981818182,4.181818182,0.6,4.4,2.536363636,3.281818182,1.709090909,1.563636364,4.036363636,3.590909091,2.745454546,1.309090909,2.127272727,1.927272727
8-Dec,5.916666667,4.15,3.766666667,4.583333333,2.457142857,5.728571429,5.428571429,3.028571429,1.714285714,2.5375,2.375,3.2,2.2375,3.377777778,3.033333333,3.377777778,4.7,1.836363636,3.390909091,2.036363636,4.2,0.618181818,4.572727273,2.5,3.290909091,1.727272727,1.627272727,4.036363636,3.618181818,2.754545455,1.290909091,2.263636364,1.945454546
9-Dec,5.933333333,4.216666667,3.766666667,4.616666667,2.442857143,5.742857143,5.557142857,3.1,1.714285714,2.625,2.4125,3.1875,2.55,3.522222222,3.1,3.411111111,5.4,2.736363636,3.972727273,2.063636364,4.2,0.663636364,4.627272727,2.5,3.290909091,1.881818182,1.627272727,4.027272727,4.036363636,2.754545455,1.4,2.245454546,2.154545455
10-Dec,5.933333333,4.3,3.766666667,4.566666667,2.457142857,5.728571429,5.628571429,3.242857143,1.757142857,2.7125,2.4625,3.1875,2.5375,3.8,3.111111111,3.455555556,5.445454546,2.845454546,3.990909091,2.081818182,4.218181818,0.863636364,4.636363636,2.481818182,3.309090909,1.954545455,1.609090909,4.009090909,4.009090909,2.745454546,1.572727273,2.245454546,2.3
11-Dec,5.966666667,4.3,3.766666667,4.633333333,2.5,5.814285714,5.842857143,3.271428571,1.771428571,2.95,2.4625,3.2,2.575,3.822222222,3.1,3.544444444,5.654545455,2.890909091,4.054545455,2.2,4.218181818,1,4.672727273,2.463636364,3.3,2.054545455,1.6,4.045454546,4,2.927272727,1.845454546,2.245454546,2.4
12-Dec,6.266666667,4.266666667,3.783333333,4.633333333,2.514285714,6.057142857,5.871428571,3.285714286,1.828571429,3.0375,2.475,3.225,2.5625,3.833333333,3.077777778,3.655555556,5.963636364,2.872727273,4.1,2.263636364,4.236363636,1.045454546,4.672727273,2.472727273,3.381818182,2.263636364,1.6,4.054545455,4.009090909,3.209090909,1.927272727,2.290909091,2.4
13-Dec,6.316666667,4.433333333,4.3,4.633333333,2.557142857,6.057142857,5.9,3.271428571,1.842857143,3.075,2.5125,3.3375,2.6,3.744444444,3.166666667,3.733333333,5.963636364,3.054545455,4.154545455,2.345454546,4.4,1.081818182,4.681818182,2.5,3.9,2.254545455,1.6,4.154545455,4.145454546,3.536363636,1.918181818,2.363636364,2.409090909
14-Dec,6.333333333,4.583333333,4.25,4.716666667,2.657142857,6.028571429,5.914285714,3.3,1.985714286,3.2125,2.5375,3.35,2.7375,3.722222222,3.322222222,3.744444444,5.963636364,3.236363636,4.536363636,2.363636364,4.436363636,1.1,4.690909091,2.6,3.927272727,2.227272727,1.618181818,4.181818182,4.390909091,3.618181818,1.927272727,2.409090909,2.772727273
15-Dec,6.366666667,4.683333333,4.25,4.8,2.757142857,6.128571429,5.914285714,3.271428571,1.985714286,3.25,2.55,3.3625,2.7875,3.711111111,3.211111111,3.766666667,6,3.381818182,4.545454546,2.363636364,4.490909091,1.418181818,4.7,2.836363636,4.136363636,2.381818182,1.745454546,4.209090909,4.827272727,3.718181818,1.963636364,2.409090909,2.836363636
