date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,0-Min,Min-10%,10%-30%,Stats. Shading,70%-90%,90%-Max,Median (POR)
12-18,34.2670106574,49.0404725855,25.1204512568,48.6874070196,63.7348999452,54.6685483255,44.579570981,61.0563449212,47.5251120584,47.3852559653,50.2575893408,27.2188064192,50.4043935453,37.3120195,25.1204512568,28.6284472668,46.2629819716,50.3163110226,59.7787856021,63.7348999452,48.6874070196
12-19,34.022575186,42.8779012341,26.2446163889,48.1189401144,64.2956129062,54.6399222142,45.0810900278,59.3508723132,47.8882585113,47.6942091834,50.2736270069,27.1614903274,49.7722445467,37.1201378953,26.2446163889,28.5337072991,44.1998145103,49.9727975308,58.4086822934,64.2956129062,47.8882585113
12-20,34.3207818838,48.1054245609,24.8400862182,48.3089436971,63.631562844,54.912933291,45.4386854978,58.2455827052,46.4868716305,47.6511949719,50.4730596552,27.3551267975,49.2482586854,37.1141284422,24.8400862182,28.7482578148,46.0675971775,49.7381790733,57.5790528223,63.631562844,48.1054245609
12-21,33.9109245487,48.0437511313,25.2249719196,47.8402961844,63.1230260255,55.1146191464,45.0309927343,57.7897606945,46.1808675836,47.4293399588,49.4936740524,26.7489058875,48.9289277234,37.1865730852,25.2249719196,28.1813096197,45.7209176439,49.154826255,57.2547323849,63.1230260255,47.8402961844
12-22,32.9844256568,56.5344328521,24.3096288133,47.4534510119,62.7239206794,54.8638687436,45.0073180196,57.1326197128,49.5529758763,47.8534625257,50.0056922946,26.3509357506,48.7779434407,37.4324622131,24.3096288133,27.6776337318,46.474997815,51.9489628742,57.0129823407,62.7239206794,48.7779434407
12-23,34.4500198906,47.762217033,24.9309585874,46.7202490522,63.3010236381,54.7429872074,44.8565668195,55.707364557,47.988800961,47.2421861924,50.0208434376,26.2253347342,48.6244582222,37.1780221441,24.9309585874,27.8702717655,45.9747761591,49.1830123083,55.5144890871,63.3010236381,47.762217033
12-24,35.0219946466,47.3034318767,23.9486122011,46.3653448356,62.9867681283,54.2237158714,45.4967966831,54.5986393765,47.9077347273,47.5015635226,50.3031361018,27.0105277163,48.4271544367,37.2798351554,23.9486122011,28.6128211024,46.0179255746,49.1775471028,54.5236546755,62.9867681283,47.5015635226
12-25,33.9208054243,47.0970438161,24.2939860062,46.0307147627,62.3927988411,54.2692509084,45.625488321,54.1908609741,48.8348858584,47.5041570777,49.7879099498,27.0045165266,48.2290417865,37.3817739402,24.2939860062,28.3877743061,45.868624186,49.216095495,54.2535729215,62.3927988411,47.5041570777
12-26,34.6584955647,46.4435204856,24.3664880783,46.0558733845,62.6636802353,54.7479069083,45.7584132117,54.0547875187,49.0381792803,47.3424084736,49.9400788346,27.5469544319,48.3082541501,37.0296229335,24.3664880783,28.9692626585,45.9368893154,49.398939102,54.6092830304,62.6636802353,47.3424084736
12-27,34.3258990488,46.878906183,24.1870185216,46.0973462811,62.1882845808,54.5721018479,45.3863260179,53.5892663751,49.8242600608,47.2786828371,49.2947753084,26.9638311924,48.1795750447,36.7635472357,24.1870185216,28.4362447637,45.8129381758,49.5065692094,54.3755347533,62.1882845808,47.2786828371
12-28,34.7288902197,46.3430741726,24.3244307855,45.7551718895,62.1383118102,55.1256017015,45.3973611606,53.506466506,49.2124009971,47.3517937452,49.315768438,27.3141018982,48.4901663609,36.8147338216,24.3244307855,28.7970595625,45.6120475979,49.2537479735,54.8017746624,62.1383118102,47.3517937452
12-29,34.9036688508,46.3119181721,24.4581574562,45.6216069204,62.0436937222,54.9103925322,45.5904278639,53.4243942351,52.1303315612,48.110704169,49.9010405204,26.8991156807,48.2947839453,36.2726125916,24.4581574562,28.5000263147,45.6091352978,50.7927569367,54.6131928728,62.0436937222,48.110704169
12-30,34.361886403,46.423629161,23.7401817881,45.1722006197,61.7293065321,54.8464215941,45.4976040719,52.8387617039,51.6018344065,47.7588071345,49.0062213047,26.5254916613,48.1246866823,36.4333913447,23.7401817881,28.0927706097,45.367442691,50.0444665455,54.4448896161,61.7293065321,47.7588071345
